NVSS,Name,Rej,RAJ2000,DEJ2000,S1.4GHz,Beam1,Beam2,errTau,TauPk,e_TauPk,Taudv,e_Taudv,Nf,NHIthin,e_NHIthin,NHIiso,e_NHIiso,NHItot,e_NHItot,NHICNM,NHIUNM,fCNM,e_fCNM,fUNM,e_fUNM,SimbadName,NED,recno,rhi,sigrhi,nhicnm,signhicnm,fcnm,sigfcnm,rhi_rl,sigrhi_rl,fcnm_rl,sigfcnm_rl,note_rl,lon,lat,ew,sigew,taupeak
1,J0022,,00 22 25.4,+00 14 56.2,3.01,2.2,1.4,0.8,0.025,0.001,0.148,0.003,4,2.63,0.14,2.64,0.14,2.63,0.08,0.11,0.88,0.04,0.07,0.33,0.37,NVSS J002225+001456,NED,1,1.0,0.061309945,0.1099999994039535,0.0,0.0418250930104378,0.0012722461304816,1.0042191743850708,0.0028081190413671,0.0387533046305179,0.0255161273766727,"-50.0, 35.0, 0.0",107.461730329442,-61.7482392861447,0.152595538797026,0.00609331930273308,0.025008009636672206
1,3C018A,,00 40 50.7,+10 03 05.0,4.6,15.5,13.7,1.5,0.623,0.004,2.404,0.006,4,5.65,0.02,6.29,0.03,6.71,0.24,3.29,0.0,0.49,0.21,,0.28,3C 018,NED,2,1.1876106262207031,0.042943384,3.289999961853028,0.136014699935913,0.4903129572502343,0.0268038615678253,1.2834545373916626,0.090160460813764,0.669923722743988,0.0585639532416895,"-50.0, 35.0, 0.0",118.623254874594,-52.7317182980631,2.3889601271353205,0.012099403336200354,0.6232663081530933
1,3C018B,,00 40 49.5,+10 03 50.0,4.6,15.5,13.7,2.4,0.642,0.006,2.305,0.01,2,5.65,0.02,6.27,0.03,6.67,0.24,3.29,0.0,0.49,0.22,,0.42,3C 018,NED,3,1.180531024932861,0.042937882,3.300000190734864,0.1166190430521965,0.4947526466249223,0.0249522016263634,1.2834545373916626,0.090160460813764,0.669923722743988,0.0585639532416895,"-50.0, 35.0, 0.0",118.616420772078,-52.7189074114497,2.350025450192549,0.018068956837253805,0.6462189131056242
1,3C041A,,01 26 44.8,+33 13 02.3,3.71,1.7,1.4,2.4,0.039,0.004,0.343,0.009,3,5.43,0.23,5.46,0.23,5.46,0.11,0.02,1.99,,0.1,0.37,0.51,3C 041,NED,4,1.0055248737335205,0.047163527,2.009999990463257,0.0707106739282608,0.3681318638132125,0.0149239919887899,1.0316084027290344,0.0152880047143924,0.3089751154184341,0.0346973174440863,"-90.0, 50.0, 0.0",131.378782574369,-29.0746510944781,0.42571178484135397,0.01910272167066453,0.03986873496371627
1,3C041B,,01 26 43.8,+33 13 21.8,3.71,1.7,1.4,3.8,0.057,0.006,0.317,0.014,3,5.43,0.23,5.47,0.23,5.47,0.08,0.88,0.0,0.16,0.15,,0.76,3C 041,NED,5,1.007366418838501,0.045141213,0.8799999952316284,0.050000000745058,0.1608775190100685,0.009438730829349,1.023121356964111,0.016231062676869,0.2766789048910141,0.0557187194438317,"-80.0, 40.0, 0.0",131.373858976009,-29.0698477400234,0.4143887528394232,0.028003454608438786,0.05859233707705991
1,3C48,,01 37 41.3,+33 09 35.1,16.02,1.3,1.2,0.7,0.05,0.001,0.379,0.003,6,4.24,0.26,4.27,0.26,4.26,0.05,0.16,1.53,0.04,0.14,0.36,0.21,3C 48,NED,6,1.0047171115875244,0.06272843,1.680000066757202,0.0282842703163623,0.3943661916652451,0.0080936966301819,1.0453867316246033,0.007786402305796,0.4173218607902527,0.0161073567411727,"-90.0, 80.0, 0.0",133.962565883796,-28.7194057826967,0.39717383450324567,0.0063157560268865005,0.050649094154811454
1,4C15.05,,02 04 50.4,+15 14 11.0,4.07,3.3,3.0,0.6,0.086,0.001,0.723,0.003,6,4.33,0.15,4.42,0.16,4.42,0.24,0.39,3.11,0.09,0.04,0.7,0.18,4C 15.05,NED,7,1.020785212516785,0.06704435,3.5,0.1322875618934631,0.7918551899516388,0.0523877527815568,1.0913531184196472,0.0385498118204002,0.5952340960502625,0.01462804774488,"-90.0, 80.0, 0.0",147.93023691909,-44.0434990103208,0.737595900402256,0.0055866708323217395,0.08675292130359956
2,3C78,,03 08 26.2,+04 06 39.0,5.75,4.1,2.2,2.2,1.366,0.006,4.992,0.009,6,9.76,0.22,11.44,0.26,11.37,0.86,4.43,3.17,0.39,0.2,0.28,0.24,3C 78,NED,8,1.164958953857422,0.09342003,7.600000381469727,0.5103920102119446,0.668425721896656,0.067610510517961,1.252841055393219,0.0590123760804896,0.6170247793197632,0.0095828101650505,"-90.0, 80.0, 0.0",174.858069462027,-44.5135107993634,4.984242259389755,0.01915746648507423,1.3660204025642506
1,4C16.09,,03 18 57.8,+16 28 32.7,8.03,1.4,1.2,0.6,0.539,0.002,3.019,0.003,6,9.96,0.16,11.01,0.17,10.93,0.28,4.36,2.37,0.4,0.24,0.22,0.08,4C 16.09,NED,9,1.097389578819275,0.03378081,6.730000019073486,0.1609347611665725,0.6157364895851438,0.0215779678644317,1.3393720388412476,0.0226604460505325,0.7236551940441132,0.0319293839245236,"-80.0, 80.0, 0.0",166.635681633375,-33.5959184437041,3.0074188144161007,0.006052762064554843,0.5397755473096243
1,3C111A,,04 18 21.3,+38 01 35.8,7.73,13.0,5.3,1.7,0.888,0.005,10.167,0.01,12,24.25,1.06,28.43,1.24,28.6,1.25,19.82,0.69,0.69,0.18,0.02,0.09,3C 111,NED,10,1.1793814897537231,0.07933414,20.520000457763672,0.7215261459350586,0.717482523918385,0.0402469504651136,1.716662049293518,0.2840004492940136,0.8004034161567688,0.0926859401814761,"-80.0, 80.0, 0.0",161.675526107655,-8.81978447045552,10.195482410233499,0.01986973613485399,0.8892391874587807
