Source name,src,R.A (J2000),DEC (J2000),l(deg),b(deg),Flux(1.4GHz) in Jy,Tsky (K),nhi,signhi,nhithin,signhithin,rhi,sigrhi,nhicnm,signhicnm,nhiwnm,signhiwnm,fcnm,sigfcnm
J034053+073525 (4C+07.13) ,4C+07.13,03:40:53.73,07:35:25.40,178.87,-36.27,1.01,4.07,16.57183213200462,0.8893091573162663,13.6900885438982,0.03840548052712473,1.210498535408731,0.06504877465245802,7.336882012952118,0.6755079349258214,9.234950119052506,0.578411451424347,0.44273209832862387,0.047181055256801004
J032153+122114 (PKS0319+12) ,PKS0319+12,03:21:53.11,12:21:14.00,170.59,-36.24,1.91,4.51,32.66842256592584,1.169879601228143,16.02899161834961,0.0395134275851706,2.038083451770466,0.07315794749075445,19.8983118038357,0.4412982218405224,12.77011076209013,1.083454734066039,0.6090992536808388,0.025656432524687446
J032723+120835 (4C+11.15) ,4C+11.15,03:27:23.11,12:08:35.80,171.98,-35.48,1.21,4.17,24.28635859256964,0.6694290817282678,16.72061761688226,0.04652740218612292,1.4524797557746012,0.040239638208317614,7.99122001366809,0.509677023708407,16.29513857890155,0.4340099387886085,0.32904150629287776,0.022862145176433608
J031857+162833 (4C+16.09) ,4C+16.09,03:18:57.77,16:28:33.10,166.64,-33.6,8.03,6.93,12.28979750745072,0.7094713906100003,10.66296186689327,0.05020614247547488,1.1525688322686876,0.06675699753075331,4.486592620181335,0.1824916121660562,7.803204887269384,0.685599347712001,0.36506643965950836,0.025780576759884988
J033626+130233 (3C090) ,3C090,03:36:26.56,13:02:33.20,173.15,-33.29,1.99,4.67,28.49361947749519,1.930725144386451,16.55066350423556,0.03849012742389024,1.7215998301338948,0.11672413893911562,10.73279902043758,1.364309773305664,17.76082045705761,1.36614729280145,0.3766737682769489,0.054259155350786153
J035613+130535 ,J035613+130535,03:56:13.81,13:05:35.80,177.02,-29.78,0.89,4.14,17.24639490691099,0.4371574297548954,13.16688155359746,0.0443621435029341,1.309831400602136,0.03349329936595907,9.219625183444766,0.3371404802450276,8.026769723466224,0.2782856715141087,0.5345827480588577,0.023785660991258478
J035900+143622 (3C096) ,3C096,03:59:00.91,14:36:22.50,176.27,-28.26,1.2,4.37,20.14929102760912,0.9800166509842416,15.29177673922965,0.03612098408998003,1.317655323590879,0.06416335556639291,9.515359030316205,0.6884560932328602,10.63393199729292,0.6974674500626651,0.47224287034605805,0.041170418439126714
J042725+085330 (4C+08.15) ,4C+08.15,04:27:25.05,08:53:30.30,186.21,-26.51,0.94,4.08,17.57512242495417,0.5610807956693319,13.26039908842003,0.048262895472901,1.3253841236424082,0.042586602471659324,7.652627583098461,0.2089162353337031,9.922494841855709,0.5207356967626892,0.43542385640698694,0.018290258599401237
J032504+244445 (4C+24.06) ,4C+24.06,03:25:04.35,24:44:46,161.92,-26.26,0.81,4.13,10.28800923786249,0.3789517661830242,9.33906677950813,0.04565406235788169,1.1016099874600467,0.040932841487820615,3.524251441693956,0.1500333845870244,6.763757796168538,0.3479862419731497,0.3425591249202824,0.01928433416676107
J035633+190034 (4C+18.11) ,4C+18.11,03:56:33.46,19:00:34.60,172.23,-25.66,1.05,4.15,14.39857211041464,1.302620171427944,12.49621297698065,0.03467021782929347,1.152234852025837,0.10429020280560365,3.861613192041789,0.5853353403688553,10.53695891837285,1.163701787541053,0.2681941766467692,0.04734250627410846
J041140+171405 (4C+17.23) ,4C+17.23,04:11:40.77,17:14:05.10,176.36,-24.24,1.03,4.26,25.67105934633784,1.218710598590327,17.99746279757102,0.0376328757933188,1.4263710187972978,0.06778134120520321,6.33545779908772,0.7788812122699937,19.33560154725012,0.9373364285512531,0.24679378102842173,0.03252442005075035
J042022+175355 (3C114) ,3C114,04:20:22.17,17:53:55.20,177.3,-22.24,1.11,4.23,30.46565983987594,0.9959748612713409,16.36265811217051,0.0409563325738552,1.8619016318146773,0.06104692027428423,22.44027776561266,0.8272546996734372,8.025382074263277,0.5546310360525074,0.7365761281244595,0.03629277862840279
J042524+175525 (4C+17.25) ,4C+17.25,04:25:24.43,17:55:25.30,178.11,-21.31,0.88,4.16,20.91318671194574,0.3368875008689223,15.29044525875482,0.03928854322840586,1.367729085585099,0.02231107276722417,11.74853992970547,0.2487596260343329,9.164646782240272,0.2271823864144555,0.561776647984242,0.014945995983499216
J042756+175242 (4C+17.26) ,4C+17.26,04:27:56.98,17:52:42.80,178.56,-20.88,1.01,4.22,18.98491682967141,0.576475577513982,14.64481777605096,0.0393820278503576,1.2963573272122186,0.039517857317972215,5.217488881604588,0.3556277964044772,13.76742794806682,0.4537102179746174,0.27482284638983545,0.020506853505671455
J044907+112128 (PKS0446+11) ,PKS0446+11,04:49:07.65,11:21:28.20,187.43,-20.74,0.85,4.16,17.27941430723093,1.034912503713347,12.67178197659602,0.03842773213204069,1.363613605343346,0.08177525876046604,7.404481752721697,0.9294980458720066,9.874932554509236,0.455057439300084,0.42851462561570375,0.059601107816412244
J034008+320901 (3C092) ,3C092,03:40:08.54,32:09:01,159.74,-18.41,1.61,3.95,21.04654942613055,0.6784575230523066,12.13740197347642,0.009560002801341845,1.7340242559423409,0.05591476800565914,11.70558746305045,0.5641141211949584,9.340961963080092,0.3769348336976974,0.5561760850221492,0.0322467936051361
