source,survey,glon,glat,nhithin,signhithin,nhi,signhi,rhi,sigrhi,fcnm,sigfcnm,rhi_rl,sigrhi_rl,fcnm_rl,sigfcnm_rl,note_rl,ew,sigew,taupeak
J14002,MACH,109.589,53.127,1.4,0.11,1.4,0.11,1.0,0.11,0.0,0.0,1.0019598603248596,0.0608774990454806,0.0011000037193298,0.2470282396112254,"-150.0, 90.0, 0.0",0.003797547056229438,0.022471246222372683,0.010999815232936735
J14364,MACH,105.174,49.73,1.3,0.08,1.3,0.08,1.0,0.09,0.0,0.0,1.0,0.0105657195890365,0.0011000037193298,0.093187130150535,"-50.0, 40.0, 0.0",0.04458648481969371,0.035832810498581,0.028943726665945736
J14384,MACH,103.524,50.695,1.5,0.13,1.5,0.13,1.0,0.12,0.0,0.0,1.0,0.0034225714887388,0.0011000037193298,0.0165704400275799,"-50.0, 40.0, 0.0",0.014782113099361827,0.018303478916386014,0.009019278255329548
J14434,MACH,88.257,58.314,2.29,0.23,2.29,0.23,1.0,0.14,0.01,0.02,1.000145137310028,0.0070371309605817,0.0130464620888233,0.0419506165082681,"-50.0, 40.0, 0.0",0.10206411239472668,0.01766467892054929,0.03637038760743928
J14510,MACH,71.913,61.477,1.46,0.05,1.47,0.05,1.0,0.05,0.0,0.01,1.0,0.0020998683882587,0.0034725703299045,0.0076738502775844,"-20.0, 20.0, 0.0",0.001567072643936375,0.030738959750051933,0.030863465209670385
J14540,MACH,85.672,57.249,1.35,0.04,1.35,0.04,1.0,0.04,0.0,0.0,1.0,0.0021227765706581,0.0011000037193298,0.0012563474186895,"-50.0, 40.0, 0.0",0.005037152032758451,0.05605037837624309,0.033030446804014665
J15040,MACH,97.691,50.106,1.11,0.09,1.11,0.09,1.0,0.11,0.0,0.0,1.0,0.0020886471040559,0.0026798788458108,0.0035655398545781,"-50.0, 40.0, 0.0",0.019972211595759872,0.0226083950735836,0.018479591941945796
J15075,MACH,99.785,48.31,1.32,0.09,1.32,0.09,1.0,0.1,0.0,0.0,1.0,0.0020773047756305,0.0030789766460657,0.0028060287045893,"-50.0, 40.0, 0.0",0.006703751672158955,0.05603757509600105,0.032039290565015734
J15102,MACH,87.319,53.685,1.7,0.07,1.7,0.07,1.0,0.06,0.0,0.0,1.0,0.002087647291043,0.012386942282319,0.0142257578209269,"-50.0, 40.0, 0.0",0.0777651269990912,0.06449308783990723,0.04792529262794053
J15394,MACH,95.34,45.854,1.66,0.11,1.66,0.11,1.0,0.09,0.0,0.0,1.0,0.0021263599395751,0.0011000037193298,0.0017663035566647,"-50.0, 40.0, 0.0",0.11426939637327219,0.07438077121266515,0.0368845018953258
J15412,MACH,61.493,52.905,1.18,0.05,1.19,0.05,1.0,0.06,0.0,0.01,1.0,0.0019896687150519,0.0083589348942041,0.0151646972962161,"-30.0, 30.0, 0.0",0.013506874697475899,0.04246357832744172,0.02501760785932849
