id,src,gl,gb,nhi,signhi,thin,sigthin,nhicnm,signhicnm,nhiwnm,signhiwnm,rhi,sigrhi,fcnm,sigfcnm,rhi_rl,sigrhi_rl,fcnm_rl,sigfcnm_rl,note_rl
0,3C33,129.4481,-49.3244,2.78,0.04,2.8239,0.068,1.64,0.0232,1.14,0.0357,1.0,0.027615356806231,0.5899280575539568,0.0119035086230196,,,,,
1,3C18,118.6218,-52.7266,5.99,0.95,5.1766,0.0315,5.24,0.945,0.75,0.0561,1.1571301626550246,0.1836531684848403,0.8747913188647747,0.2100902021493354,,,,,
2,3C141.0,174.5324,-1.3112,52.69,1.48,40.9027,0.5363,23.64,1.2509,29.05,0.7996,1.288179019966897,0.0399313896665465,0.4486619851964319,0.0268783043925492,,,,,
3,3C142.1,197.6157,-14.5115,21.96,2.3,17.226,0.7261,8.1,2.2459,13.86,0.5171,1.2748171368861023,0.1439264918341559,0.3688524590163934,0.1093254970343224,,,,,
4,3C138,187.4052,-11.3437,19.84,0.99,17.4826,0.2399,10.69,0.9004,9.15,0.4088,1.1348426435427224,0.0587299291857405,0.5388104838709677,0.0527493199848523,,,,,
5,3C75-2,170.2958,-44.9192,8.23,0.21,7.7794,0.8588,2.14,0.1823,6.09,0.1052,1.0579222047972852,0.1198675255683807,0.2600243013365735,0.0231230145975578,,,,,
6,3C75-1,170.2162,-44.9112,7.97,0.2,7.5283,0.9967,2.05,0.1777,5.92,0.0943,1.0586719445293094,0.142657070498694,0.2572145545796737,0.0232115918038755,,,,,
7,3C409,63.3985,-6.1223,25.81,1.12,21.1972,0.2256,6.07,0.9729,19.74,0.5573,1.2176136470854642,0.0544031326741159,0.235180162727625,0.0390517645627981,,,,,
8,3C33-1,129.4392,-49.3432,2.81,0.12,2.7894,0.8383,1.95,0.0886,0.86,0.0754,1.00738510073851,0.3057912697001603,0.693950177935943,0.0432710399916898,,,,,
9,3C79,164.1487,-34.4565,9.37,1.03,8.623,0.6808,6.91,0.7731,2.46,0.6812,1.0866287834860258,0.1470644044269084,0.7374599786552829,0.1156684347736677,,,,,
10,3C78,174.8581,-44.513,10.06,0.46,9.0508,0.1794,5.81,0.4478,4.25,0.1151,1.111503955451452,0.0553940015916439,0.577534791252485,0.0517570355743339,,,,,
11,3C98-1,179.8593,-31.0859,10.37,0.34,9.7853,0.736,5.99,0.3181,4.38,0.1101,1.0597528946480943,0.086953067128655,0.5776277724204436,0.0360503572891336,,,,,
12,3C75,170.2558,-44.9111,7.89,0.18,7.4489,0.0798,2.49,0.1558,5.4,0.0809,1.0592167971109827,0.0266963096488622,0.3155893536121673,0.0210181193358345,,,,,
